Sample Name,Origin,4°C,16°C,30°C,40°C,Ethanol (5% v/v),Ethanol 7% v/v,Ethanol 9% v/v,Ethanol 10% v/v,Ethanol 11% v/v,Ethanol 12% v/v,NaCl (250mM),NaCl (500mM),NaCl (1000mM),KCl (500mM),KCl (1000mM),KCl (1500mM),Maltose (10°C),Maltose (39°C),Ethanol (10°C),Ethanol (39°C),Fructose (10°C),Fructose (39°C),Sucrose (10°C),Sucrose (39°C),Glucose (10°C),Glucose (39°C),"Actidione (0,2 mg/L)","Actidione (0,4 mg/L)","Actidione (0,5 mg/L)",Lysine,Sucrose (20°C),Fructose (20°C),Ethanol (20°C),Maltose (20°C),Galactose (20°C),Glycerol (20°C),Melibiose (20°C),Sorbitol (20°C),Copper (0.075mM),Cadmium (0.3mM),Cadmium (0.4mM),Cadmium (0.5mM),Glucose (46%),Glucose (48%),Glucose (50%),Sorbitol (46%),Sorbitol (48%),Sorbitol (50%),Acetic acid (50mM),Acetic acid (75mM),Acetic acid (100mM),Levulinic acid (25mM),Levulinic acid (50mM),Levulinic acid (75mM),Formic acid (25mM),Formic acid (50mM),Formic acid (75mM),Ethanol production (%v/v),Sporulation efficiency,Spore viability,"Sulfite (1,5mM)","Sulfite (2,25mM)","Sulfite (3,0mM)",Maltose (liquid),Maltotriose (liquid),Acetaldehyde,Ethyl acetate,Ethyl propionate,Propyl acetate,Isobutyl acetate,Ethyl butyrate,Isobutanol,Isoamyl acetate,Butanol,Isoamyl alcohol,Ethyl hexanoate,Ethyl octanoate,Ethyl decanoate,Phenyl ethyl acetate,Phenyl ethanol,Flocculation,POF
BE001,Beer,-0.466,1.641,2.235,-1.022,1.824,1.709,-0.936,-0.669,-0.91,-0.792,-0.639,-0.62,-0.363,1.827,1.422,0.026,-0.874,-1.105,-0.628,-0.539,-0.015,-1.66,-0.37,-1.537,-1.084,-1.307,-0.645,-0.382,-0.341,0.191,0.745,1.465,1.685,1.55,0.743,-0.949,-0.761,-0.826,-0.045,0.167,0.048,-0.302,-0.824,-0.61,-0.443,-0.624,-0.558,-0.451,-0.309,-0.395,-0.875,0.234,0.246,-0.836,-1.943,-1.501,-0.632,-2.156,-1.223,-0.819,0.26,-0.348,-0.441,0.322,0.431,-0.335,0.685,2.252,-0.929,0.668,-1.293,0.883,0.378,-0.45,1.13,-0.566,-0.967,0.091,-1.085,-0.529,-0.584,-0.922
BE002,Beer,-0.466,0.524,0.047,-0.927,1.335,1.241,0.41,0.517,0.435,0.681,0.382,0.845,0.175,-0.569,-0.286,-0.326,-0.488,-0.582,-1.007,-0.539,0.778,-1.051,-1.35,-1.18,1.191,-1.158,-0.528,-0.382,-0.341,0.191,-0.883,0.903,0.287,1.36,-0.334,0.235,1.735,0.352,-0.593,0.729,-0.051,-0.6,0.135,-0.418,-0.443,0.849,-0.264,-0.451,-0.642,-0.439,-0.875,-0.148,-0.235,-0.635,-0.335,-0.82,-0.632,-1.792,0.738,-0.655,1.335,1.638,0.38,0.117,0.173,-0.61,1.413,0.176,1.286,0.01,-1.293,-0.458,0.741,-1.273,-0.124,1.025,0.264,1.998,0.963,-0.035,-0.584,-0.922
BE003,Beer,-0.466,0.485,0.19,-0.755,0.939,-0.135,-0.352,-0.437,-0.833,-0.792,0.455,-0.033,-0.363,-0.818,-0.457,-0.271,-0.139,-0.564,-0.032,-0.244,-0.922,-0.827,-0.963,-0.785,-0.479,-0.799,-0.345,2.087,-0.039,0.191,-0.691,-0.124,-0.041,-0.45,-3.005,-0.135,0.367,-0.163,-1.058,-0.677,-0.794,-0.66,-0.345,-0.162,-0.24,0.151,0.03,0.03,0.614,0.183,-0.875,-2.182,-1.551,-0.836,-0.211,-0.95,-0.632,-1.85,-1.223,-0.819,-0.24,-0.717,-0.441,-1.232,0.395,-0.49,-0.836,-1.286,-0.929,-0.277,-1.293,-0.235,0.36,-1.82,-0.063,-0.261,0.561,0.935,1.456,0.956,-0.584,1.078
BE004,Beer,-0.466,0.12,-0.031,1.485,1.203,1.898,2.211,1.646,0.541,0.253,1.788,1.836,0.247,-0.211,-0.056,0.014,-0.585,1.498,0.938,1.945,2.897,0.902,1.629,0.944,0.547,1.374,-0.512,-0.382,-0.341,0.191,1.16,0.908,0.609,1.19,0.597,0.574,0.094,0.399,1.624,0.006,-0.596,-0.72,-0.681,-0.546,-0.443,-0.314,-0.411,-0.451,1.611,2.187,2.699,1.112,1.128,1.355,1.089,1.375,0.977,0.216,0.582,-0.819,1.535,0.23,-0.441,0.073,-1.478,-0.401,-0.455,0.6,-0.929,-0.776,0.158,-0.25,-0.596,-1.394,0.22,-0.158,-0.449,0.942,-0.334,-0.089,-0.584,1.078
BE005,Beer,-0.466,0.063,1.054,1.317,0.158,0.651,0.401,-0.314,-0.482,-0.64,-0.107,-0.62,-0.363,0.953,0.933,0.581,1.864,1.479,0.827,0.321,0.443,0.743,0.475,0.944,-0.43,1.169,1.906,2.019,1.901,0.191,-0.211,0.681,0.412,1.49,0.068,0.115,-0.246,0.03,1.296,-1.44,-1.091,-0.78,0.567,-0.29,-0.341,0.616,-0.117,-0.451,0.552,0.498,0.561,0.796,0.86,1.688,0.433,0.458,-0.632,0.321,0.893,0.336,0.056,-0.687,-0.441,-0.613,-1.478,-0.177,-0.352,-0.93,-0.929,-0.493,-1.293,-0.322,-0.53,-1.101,-0.477,0.165,-0.898,1.497,-0.525,-0.616,-0.584,-0.922
BE006,Beer,-0.466,-0.025,-0.539,0.578,0.213,0.133,-0.001,-0.138,-0.099,-0.563,-0.571,-0.62,-0.363,0.231,0.123,0.515,1.263,1.009,0.599,1.481,0.011,0.479,0.251,0.776,-0.822,-0.271,2.648,2.655,2.136,0.191,0.015,0.167,-0.095,0.16,0.242,0.61,-0.096,0.386,1.679,-0.677,-0.745,-0.72,0.231,0.222,-0.138,0.616,0.323,0.03,0.515,1.205,0.875,0.462,0.13,0.755,0.485,0.503,-0.632,0.544,0.613,1.479,0.742,0.249,-0.441,0.05,0.948,-0.255,0.956,-0.542,1.012,1.062,-1.293,0.28,0.745,-0.984,0.282,0.997,0.815,4.831,0.311,-0.122,-0.584,1.078
BE007,Beer,-0.466,-0.722,-0.008,-1.022,-1.134,-1.561,-1.081,-0.943,-0.91,-0.792,-0.641,-0.62,-0.363,-0.719,-0.714,-1.146,-1.068,-1.105,-1.007,-0.539,-0.689,-1.66,-1.01,-1.537,-1.084,-1.307,-0.645,-0.382,-0.341,0.191,-0.996,-0.052,-0.293,-0.14,-0.116,-1.649,-1.517,-1.471,-1.058,-1.52,-0.398,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,1.611,-1.069,-0.875,-0.857,-1.551,-0.836,1.089,0.834,2.143,-1.029,-1.223,-0.819,-1.109,-0.717,-0.441,0.758,1.017,-0.618,-1.076,0.36,-0.929,-1.234,-1.293,0.002,-1.281,-0.958,-0.814,-0.521,0.255,-0.029,-1.085,-0.46,-0.584,-0.922
BE008,Beer,-0.466,0.948,0.548,-0.984,0.287,0.156,-1.081,-0.943,-0.91,-0.792,-0.727,-0.62,-0.363,0.232,0.377,-0.519,-0.321,-0.743,0.231,-0.539,-0.837,-0.843,-0.699,-1.04,-0.779,-1.062,-0.645,-0.382,-0.341,0.191,-0.256,-0.533,-0.607,0.77,0.151,-1.209,-1.159,-1.111,0.256,-0.275,-0.992,-0.78,-0.728,-0.61,-0.443,-0.624,-0.558,-0.451,1.063,0.067,-0.875,-0.684,-1.551,-0.836,-1.094,0.225,-0.632,-1.052,0.177,-0.819,-1.294,-0.717,-0.441,0.859,0.632,-0.022,0.034,-0.338,-0.929,0.42,-1.293,0.271,0.302,-1.183,0.775,-0.833,-0.125,0.492,0.379,0.341,0.039,-0.922
BE009,Beer,-0.466,-0.465,0.373,-0.89,-0.371,0.436,-0.918,-0.943,-0.91,-0.792,-0.885,-0.62,-0.363,0.514,0.571,-1.51,0.421,-0.91,0.728,-0.539,-0.585,0.399,0.062,0.688,-0.684,0.997,-0.645,-0.382,-0.341,0.191,0.033,0.037,0.017,0.5,0.122,0.139,0.729,0.173,-0.921,-1.561,-0.844,-0.481,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.345,0.915,-0.875,0.312,0.535,0.824,0.983,-0.113,-0.632,-0.665,0.084,-0.819,0.518,-0.076,-0.441,0.859,1.017,-0.367,-1.703,-1.293,-0.929,-1.217,-1.293,-0.295,-1.199,-2.165,-1.025,-1.161,-1.581,-0.319,-1.085,-1.004,1.285,-0.922
BE010,Beer,-0.466,0.18,1.638,1.038,-0.011,0.851,-0.473,-0.943,-0.91,-0.792,-0.609,-0.62,-0.363,1.769,1.403,0.928,-0.033,-1.105,-0.791,-0.539,-0.485,0.324,-0.536,0.296,-1.084,1.654,-0.645,-0.382,-0.341,0.191,-0.589,-0.161,0.368,0.92,0.954,0.576,0.73,0.588,-1.058,-1.48,-0.794,-0.78,-0.681,-0.61,-0.443,-0.779,-0.558,-0.451,0.064,-1.19,-0.875,0.384,0.284,-0.836,-0.22,-0.81,-0.632,-1.369,0.053,-0.162,0.226,-0.717,-0.441,0.188,0.718,-0.271,-0.028,0.664,-0.929,0.89,-1.293,0.591,0.434,-0.99,0.587,-0.968,-1.367,-0.153,-0.354,-0.316,0.662,-0.922
