N,K,P,run,sampler,time,load_min_ess,load_mean_ess,load_med_ess,prec_min_ess,prec_mean_ess,prec_med_ess
50.0,1.0,10.0,1.0,ortho,24.287,786.5275555075983,2613.3223957846812,1821.1889799120472,2012.6974016289348,3577.518785853311,3793.6749667272106
50.0,1.0,10.0,1.0,gibbs,4.521,416.94781808242,1014.3796906158689,980.7831162763557,812.0332827516709,1515.9821295213783,1633.338107330856
50.0,1.0,10.0,1.0,hmc,11.135,1005.5719299988214,1499.8140258423962,1555.381457374158,752.8943677375898,1358.9111484960742,1466.7774570237661
50.0,1.0,10.0,1.0,old,5.939,74.76956335116368,576.9618185334273,328.1336959700219,215.78558476516557,1404.1329158474423,1552.7837650957617
100.0,1.0,10.0,1.0,ortho,43.948,895.988115784572,1908.6271835088014,1375.9045875156185,2556.29136701559,3786.1899024802033,3852.4947482255266
100.0,1.0,10.0,1.0,gibbs,7.636,416.27645984340944,915.2497366523343,800.5435273111673,1173.93665665277,1510.6196046953287,1530.5508224178357
100.0,1.0,10.0,1.0,hmc,19.204,1227.5219731468517,1520.7514214770163,1544.1501523041543,1141.8237316933319,1457.9646525305714,1461.5668898544495
100.0,1.0,10.0,1.0,old,16.047,90.35361546791488,382.51250954679915,239.7767853229268,231.53192755548673,1077.8571767502758,934.123242879818
500.0,1.0,10.0,1.0,ortho,204.227,474.6315785154638,1418.187887694376,1029.4440682973348,1482.5725661407287,3848.137690891666,4222.950768018312
500.0,1.0,10.0,1.0,gibbs,27.772,279.43404695539135,741.5630641367716,657.9374658607227,922.5768547159342,1435.5506334774423,1466.7469821689365
500.0,1.0,10.0,1.0,hmc,84.077,716.1703795986848,1401.8055889000411,1557.88664214539,909.495065181051,1446.1792993767203,1477.9005300662207
500.0,1.0,10.0,1.0,old,286.284,31.565812104471803,216.66262719343567,109.18147425907497,204.13827709862377,1312.3098639512266,1414.1954614318388
1000.0,1.0,10.0,1.0,ortho,421.476,430.5916680275511,1743.1166443241189,1437.3823767494623,995.413103767052,4015.8064997123947,4393.044078542485
1000.0,1.0,10.0,1.0,gibbs,55.993,189.0986124449075,855.577147440491,762.3365739949813,597.5871129163561,1450.4154299386832,1536.2147716949262
1000.0,1.0,10.0,1.0,hmc,185.059,418.8419300274734,1412.7214173561765,1561.7963973942667,871.7390674463471,1576.97604557289,1652.158007703285
1000.0,1.0,10.0,1.0,old,1175.091,22.316245109315105,383.3872799641717,174.6456023010055,152.71882829721918,1503.1465317528985,1666.9854562075147
50.0,2.0,10.0,1.0,ortho,39.658,491.7230408212241,1962.8846664183413,1717.9746491036904,1074.7914152045803,3159.810137532434,3805.6428762510745
50.0,2.0,10.0,1.0,gibbs,7.794,891.5286193668522,1083.6308794654733,1091.14681096007,862.0780584779715,1274.3596603124665,1276.6575114362427
50.0,2.0,10.0,1.0,hmc,19.298,1018.0483775806498,1305.9966353931668,1292.6154702897943,820.7151922801867,1298.3143119976255,1343.8310760495729
50.0,2.0,10.0,1.0,old,6.396,60.96014068385854,188.902510776264,171.79838222786543,189.13992784837936,552.6208943866546,495.67789456747533
100.0,2.0,10.0,1.0,ortho,80.559,475.94814667977295,718.590076851043,675.740935838619,1783.3199849364557,3238.4532179100497,3408.828180816542
100.0,2.0,10.0,1.0,gibbs,13.643,460.6971103863229,665.835171836431,683.8494353603578,1048.776241261929,1346.5720436442282,1373.1010485722513
100.0,2.0,10.0,1.0,hmc,35.385,1024.5452325380463,1270.617650872048,1294.47650152583,793.6543869578275,1373.2754605036916,1422.9203548300748
100.0,2.0,10.0,1.0,old,17.643,49.15039634527937,119.35901806255143,116.02548490952586,205.77328804422328,753.5420062902891,696.7334680122661
500.0,2.0,10.0,1.0,ortho,398.473,507.0602689259537,1314.8330361764297,1238.9335187467636,1964.9718616873283,3584.6317197317703,3885.1029218467243
500.0,2.0,10.0,1.0,gibbs,58.713,278.8183151673293,609.8331159429016,531.569415687982,1104.5337641538467,1409.9089899888083,1429.203363553696
500.0,2.0,10.0,1.0,hmc,170.408,528.5732824423205,1468.7837050390813,1518.4511010676579,1144.279476132956,1507.116503120542,1567.4066753448797
500.0,2.0,10.0,1.0,old,312.826,16.914444439909538,46.71321447603505,43.9020523938661,162.15422111777377,735.7296440986842,752.7562355620912
1000.0,2.0,10.0,1.0,ortho,795.752,378.9831272647406,1728.2222311219361,1726.6268353949627,805.7922662906296,3491.4619881598314,3758.5091399885396
1000.0,2.0,10.0,1.0,gibbs,115.049,176.14674047581212,762.6634345352466,671.4147991359957,310.1274364275093,1332.6003802984324,1408.7315043526019
